Название;Материал;Дата поступления;Дата документа о качестве;Документ о качестве;;Отбор проб;Номер документа о качестве;Предприятие изготовитель
215058;Грунт по ГОСТ 33063;02.02.2026;;;;215057;;ООО СУ-910
215061;Грунт по ГОСТ 33063;02.02.2026;;;;215060;;ООО СУ-911
215064;Песок по ГОСТ 8736;30.01.2026;;;;215063;;ООО ППП АБСИДА
215068;Бетонные образцы-кубы;19.12.2025;06.12.2025;Файл: паспорт.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215068&field_id=PROPERTY_1419&file_id=242592&ncc=y&download=y&download=y;215067;МБ-11901;"ООО ""ИПК Профбетон"""
215071;Бетонные образцы-кубы;26.01.2026;12.10.2025;Файл: 27.01.2026 паспотр №734.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215071&field_id=PROPERTY_1419&file_id=242604&ncc=y&download=y&download=y;215070;1997;ООО А-МОСТ
215074;Бетонные образцы-кубы;26.01.2026;12.10.2025;Файл: 27.01.2026 паспорт №735.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215074&field_id=PROPERTY_1419&file_id=242607&ncc=y&download=y&download=y;215073;1998;ООО А-МОСТ
215077;Бетонные образцы-кубы;26.01.2026;12.10.2025;Файл: 27.01.2026 паспорт №736.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215077&field_id=PROPERTY_1419&file_id=242610&ncc=y&download=y&download=y;215076;1999;ООО А-МОСТ
215080;Бетонные образцы-кубы;26.01.2026;12.10.2025;Файл: 27.01.2026 паспорт №738.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215080&field_id=PROPERTY_1419&file_id=242613&ncc=y&download=y&download=y;215079;2003;ООО А-МОСТ
215083;Бетонные образцы-кубы;25.01.2026;12.10.2025;Файл: 27.01.2026 паспорт №739.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215083&field_id=PROPERTY_1419&file_id=242616&ncc=y&download=y&download=y;215082;2004;ООО А-МОСТ
215086;Бетонные образцы-кубы;26.01.2026;13.10.2025;Файл: 27.01.2026 паспорт №740.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215086&field_id=PROPERTY_1419&file_id=242619&ncc=y&download=y&download=y;215085;2005;ООО А-МОСТ
215089;Бетонные образцы-кубы;26.01.2026;13.10.2025;Файл: 27.01.2026 паспорт №742.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215089&field_id=PROPERTY_1419&file_id=242622&ncc=y&download=y&download=y;215088;2008;ООО А-МОСТ
215092;Бетонные образцы-кубы;26.01.2026;13.10.2025;Файл: 27.01.2026 паспорт №743.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215092&field_id=PROPERTY_1419&file_id=242629&ncc=y&download=y&download=y;215091;2012;ООО А-МОСТ
215098;Бетонные образцы-кубы;26.01.2026;13.10.2025;Файл: 27.01.2026 паспорт №745.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215098&field_id=PROPERTY_1419&file_id=242645&ncc=y&download=y&download=y;215097;2016;ООО А-МОСТ
215101;Бетонные образцы-кубы;26.01.2026;14.10.2025;Файл: 27.01.2026 паспорт №746.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215101&field_id=PROPERTY_1419&file_id=242651&ncc=y&download=y&download=y;215100;2020;ООО А-МОСТ
215104;Бетонные образцы-кубы;26.01.2026;14.10.2025;Файл: 27.01.2026 паспорт №747.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215104&field_id=PROPERTY_1419&file_id=242657&ncc=y&download=y&download=y;215103;2024;ООО А-МОСТ
215107;Бетонные образцы-кубы;26.01.2026;14.10.2025;Файл: 27.01.2026 паспорт №748.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215107&field_id=PROPERTY_1419&file_id=242670&ncc=y&download=y&download=y;215106;2027;ООО А-МОСТ
215112;Грунт в кольцах ;02.02.2026;12.08.2025;Файл: Паспорт Песок крупный 12 августа 1.jpg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215112&field_id=PROPERTY_1419&file_id=242705&ncc=y&download=y&download=y;215111;12082025;"ООО ""СВиРТ"""
215115;Песок по ГОСТ 8736;06.02.2026;;;;215114;;ООО СУ-910
215118;Бетонные образцы-кубы;29.01.2026;28.01.2026;Файл: Паспорт от 28 января БСТ 5.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215118&field_id=PROPERTY_1419&file_id=242711&ncc=y&download=y&download=y;215117;280126-2;"ООО ""ГК ПЕГАС"""
215121;Растворы строительные по ГОСТ 28013;08.01.2026;;;;213131;;
215124;Грунт в кольцах ;06.02.2026;;;;215123;;ООО СУ-910
215127;Песок по ГОСТ 31424;19.01.2026;29.12.2025;Файл: Акт отбора проб песка из отсева оч кр. 2 кл от 19 января 2026 г. 1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215127&field_id=PROPERTY_1419&file_id=242717&ncc=y&download=y&download=y;215126;29122025;"ООО ""СВиРТ"""
215130;Песок по ГОСТ 8736;28.01.2026;16.01.2026;Файл: Паспорт Песок средний 16 января 1.webp;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215130&field_id=PROPERTY_1419&file_id=242720&ncc=y&download=y&download=y;215129;10;"ООО ""Транс-Сервис"""
215133;Грунт в кольцах ;21.01.2026;08.12.2025;Файл: Паспорт Песок средний 08 декабря 1.webp;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215133&field_id=PROPERTY_1419&file_id=242723&ncc=y&download=y&download=y;215132;08/12;"ООО ""Белпром"""
215136;Грунт в кольцах ;22.01.2026;16.01.2026;Файл: Акт отбора проб колец из песка от 22 января 2026 г. 1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215136&field_id=PROPERTY_1419&file_id=242726&ncc=y&download=y&download=y;215135;08/12;"ООО ""Белпром"""
215139;Бетонные образцы-кубы;04.02.2026;;;;215138;;ООО ППП АБСИДА
215142;Бетонные образцы-кубы;04.02.2026;;;;215141;;ООО ППП АБСИДА
215145;Грунт в кольцах ;26.01.2026;16.01.2026;Файл: Паспорт Песок средний 16 января 1.webp;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215145&field_id=PROPERTY_1419&file_id=242733&ncc=y&download=y&download=y;215144;10;"ООО ""Транс-Сервис"""
215148;Бетонные образцы-кубы;30.01.2026;29.01.2026;Файл: Паспорт от 29 января БСТ 4.jpg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215148&field_id=PROPERTY_1419&file_id=242736&ncc=y&download=y&download=y;215147;БА-402;"ООО ""СОЮЗ"""
215151;Бетонные образцы-кубы;30.01.2026;29.01.2026;Файл: Паспорт от 29 января БСТ 3.jpg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215151&field_id=PROPERTY_1419&file_id=242739&ncc=y&download=y&download=y;215150;БА-402/1;"ООО ""СОЮЗ"""
215154;Бетонные образцы-кубы;30.01.2026;29.01.2026;Файл: Паспорт от 29 января БСТ 2.jpg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215154&field_id=PROPERTY_1419&file_id=242742&ncc=y&download=y&download=y;215153;290126-1;"ООО ""ГК ПЕГАС"""
215157;Грунт по ГОСТ 25100;30.01.2026;;;;215156;;ООО СУ 911
215159;Бетонные образцы-кубы;09.01.2026;;;;213137;;
215161;Бетонные образцы-кубы;09.01.2026;;;;213140;;
215164;Грунт в кольцах ;30.01.2026;;;;215163;;ООО СУ 911
215168;Песок по ГОСТ 8736;02.02.2026;27.01.2026;Файл: Паспорт Песок крупный 27 января 1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215168&field_id=PROPERTY_1419&file_id=242753&ncc=y&download=y&download=y;215167;27012026;"ООО ""СВиРТ"""
215171;Бетонные образцы-кубы;31.01.2026;30.01.2026;Файл: Паспорт от 30 января БСТ 1.jpg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215171&field_id=PROPERTY_1419&file_id=242756&ncc=y&download=y&download=y;215170;БА-403;"ООО ""СОЮЗ"""
215174;Бетонные образцы-кубы;31.01.2026;30.01.2026;Файл: Паспорт от 30 января БСТ 2.jpg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215174&field_id=PROPERTY_1419&file_id=242759&ncc=y&download=y&download=y;215173;300126-1;"ООО ""ГК ПЕГАС"""
215177;Бетонные образцы-кубы;31.01.2026;30.01.2026;Файл: Паспорт от 30 января БСТ 3.webp;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215177&field_id=PROPERTY_1419&file_id=242762&ncc=y&download=y&download=y;215176;300126-2;"ООО ""ГК ПЕГАС"""
215180;Бетонные образцы-кубы;25.09.2025;24.09.2025;Файл: Паспорт от 24 сентября БСТ 1.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215180&field_id=PROPERTY_1419&file_id=242765&ncc=y&download=y&download=y;215179;240925-1;"ООО ""ГК ПЕГАС"""
215182;Бетонные образцы-кубы;03.09.2025;;;;202491;;
215196;Бетонные образцы-кубы;26.09.2025;25.09.2025;Файл: Паспорт от 25 сентября БСТ 1.jpg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215196&field_id=PROPERTY_1419&file_id=242783&ncc=y&download=y&download=y;215195;БА-8771;"ООО ""СОЮЗ"""
215200;Бетонные образцы-кубы;26.09.2025;;;;215199;;
215202;Бетонные образцы-кубы;05.09.2025;;;;212651;;
215204;Бетонные образцы-кубы;05.09.2025;;;;212654;;
215207;Грунт в кольцах ;30.09.2025;21.06.2025;Файл: Паспорт Песок из отсева дробления 21 июня 1.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215207&field_id=PROPERTY_1419&file_id=242792&ncc=y&download=y&download=y;215206;21062025;"ООО ""СВиРТ"""
215209;Бетонные образцы-кубы;06.09.2025;;;;212659;;
215211;Бетонные образцы-кубы;07.09.2025;;;;212662;;
215213;Бетонные образцы-кубы;07.09.2025;;;;212665;;
215216;Бетонные образцы-кубы;29.09.2025;28.09.2025;Файл: Паспорт от 28 сентября БСТ 1.jpg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215216&field_id=PROPERTY_1419&file_id=242806&ncc=y&download=y&download=y;215215;БА-8859;"ООО ""СОЮЗ"""
215219;Бетонные образцы-кубы;29.09.2025;28.09.2025;Файл: Паспорт от 28 сентября БСТ 2.jpg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215219&field_id=PROPERTY_1419&file_id=242809&ncc=y&download=y&download=y;215218;280925-1;"ООО ""ГК ПЕГАС"""
215222;Бетонные образцы-кубы;29.09.2025;28.09.2025;Файл: Паспорт от 28 сентября БСТ 3.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215222&field_id=PROPERTY_1419&file_id=242812&ncc=y&download=y&download=y;215221;БА-8831;"ООО ""СОЮЗ"""
215224;Бетонные образцы-кубы;09.09.2025;;;;212937;;
215227;Бетонные образцы-кубы;03.10.2025;02.10.2025;Файл: Паспорт от 02 октября БСТ 1.jpg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215227&field_id=PROPERTY_1419&file_id=242816&ncc=y&download=y&download=y;215226;021025-1;"ООО ""ГК ПЕГАС"""
215230;Бетонные образцы-кубы;01.10.2025;30.09.2025;Файл: Паспорт от 30 сентября БСТ 1.jpg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215230&field_id=PROPERTY_1419&file_id=242819&ncc=y&download=y&download=y;215229;БА-8909;"ООО ""СОЮЗ"""
215232;Бетонные образцы-кубы;10.09.2025;;;;214523;;
215235;Растворы строительные по ГОСТ 28013;02.10.2025;01.10.2025;Файл: Паспорт раствор М200 от 01 октября 1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215235&field_id=PROPERTY_1419&file_id=242823&ncc=y&download=y&download=y;215234;БА-8885;"ООО ""СОЮЗ"""
215237;Бетонные образцы-кубы;03.10.2025;;;;215226;;
215240;Бетонные образцы-кубы;03.10.2025;02.10.2025;Файл: Паспорт от 02 октября БСТ 2.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215240&field_id=PROPERTY_1419&file_id=242827&ncc=y&download=y&download=y;215239;БА-8935;"ООО ""СОЮЗ"""
215242;Растворы строительные по ГОСТ 28013;12.09.2025;;;;214849;;
215244;Бетонные образцы-кубы;12.09.2025;;;;214852;;
215246;Бетонные образцы-кубы;12.09.2025;;;;214855;;
215249;Щебень фр. 20-40 мм по ГОСТ 8267;26.09.2025;01.07.2024;Файл: Паспорт щебень 20-40 М1000 от 1 июля 2024.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215249&field_id=PROPERTY_1419&file_id=242833&ncc=y&download=y&download=y;215248;1;"ООО ГПК ""НЕОГЕН"""
215252;Грунт в кольцах ;08.10.2025;21.06.2025;Файл: Паспорт Песок из отсева дробления 21 июня 1.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215252&field_id=PROPERTY_1419&file_id=242836&ncc=y&download=y&download=y;215251;21062025;"ООО ""СВиРТ"""
215255;Бетонные образцы-кубы;04.10.2025;03.10.2025;Файл: Паспорт от 03 октября БСТ 1.jpg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215255&field_id=PROPERTY_1419&file_id=242839&ncc=y&download=y&download=y;215254;БА-9034;"ООО ""СОЮЗ"""
215258;Бетонные образцы-кубы;04.10.2025;03.10.2025;Файл: Паспорт от 03 октября БСТ 3.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215258&field_id=PROPERTY_1419&file_id=242842&ncc=y&download=y&download=y;215257;БА-9010/1;"ООО ""СОЮЗ"""
215263;Бетонные образцы-кубы;13.09.2025;;;;214860;;
215265;Бетонные образцы-кубы;14.09.2025;;;;214867;;
215267;Бетонные образцы-кубы;15.09.2025;;;;214870;;
215270;Грунт по ГОСТ 25100;03.10.2025;;;;215269;;
215273;Растворы строительные по ГОСТ 28013;10.10.2025;09.10.2025;Файл: Паспорт раствор М200 от 09 октября 1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215273&field_id=PROPERTY_1419&file_id=242856&ncc=y&download=y&download=y;215272;БА-9025;"ООО ""СОЮЗ"""
215276;Бетонные образцы-кубы;10.10.2025;09.10.2025;Файл: Паспорт от 09 октября БСТ 4.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215276&field_id=PROPERTY_1419&file_id=242859&ncc=y&download=y&download=y;215275;БА-9234;"ООО ""СОЮЗ"""
215279;Бетонные образцы-кубы;10.10.2025;09.10.2025;Файл: Паспорт от 09 октября БСТ 3.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215279&field_id=PROPERTY_1419&file_id=242862&ncc=y&download=y&download=y;215278;БА-9234/1;"ООО ""СОЮЗ"""
215282;Бетонные образцы-кубы;10.10.2025;09.10.2025;Файл: Паспорт от 09 октября БСТ 2.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215282&field_id=PROPERTY_1419&file_id=242865&ncc=y&download=y&download=y;215281;091025-1;"ООО ""ГК ПЕГАС"""
215284;Бетонные образцы-кубы;19.09.2025;;;;214891;;
215287;Бетонные образцы-кубы;11.10.2025;10.10.2025;Файл: Паспорт от 10 октября БСТ 2.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215287&field_id=PROPERTY_1419&file_id=242869&ncc=y&download=y&download=y;215286;БА-9247/2;"ООО ""СОЮЗ"""
215290;Бетонные образцы-кубы;12.10.2025;11.10.2025;Файл: Паспорт от 11 октября БСТ 1.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215290&field_id=PROPERTY_1419&file_id=242872&ncc=y&download=y&download=y;215289;БА-9251;"ООО ""СОЮЗ"""
215292;Бетонные образцы-кубы;21.09.2025;;;;214906;;
215294;Растворы строительные по ГОСТ 28013;22.09.2025;;;;214909;;
215297;Растворы строительные по ГОСТ 28013;14.10.2025;13.10.2025;Файл: Паспорт раствор М200 от 13 октября 1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215297&field_id=PROPERTY_1419&file_id=242877&ncc=y&download=y&download=y;215296;БА-9064;"ООО ""СОЮЗ"""
215300;Бетонные образцы-кубы;14.10.2025;13.10.2025;Файл: Паспорт от 13 октября БСТ 1.jpg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215300&field_id=PROPERTY_1419&file_id=242880&ncc=y&download=y&download=y;215299;БА-9270;"ООО ""СОЮЗ"""
215303;Грунт в кольцах ;17.10.2025;16.09.2025;Файл: Паспорт Песок из отсева дробления 16 сентября 1.webp;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215303&field_id=PROPERTY_1419&file_id=242883&ncc=y&download=y&download=y;215302;16092025;"ООО ""СВиРТ"""
215306;Грунт в кольцах ;17.10.2025;16.09.2025;Файл: Паспорт Песок из отсева дробления 16 сентября 1.webp;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215306&field_id=PROPERTY_1419&file_id=242886&ncc=y&download=y&download=y;215305;16092025;"ООО ""СВиРТ"""
215309;Бетонные образцы-кубы;15.10.2025;14.10.2025;Файл: Паспорт от 14 октября БСТ 1.jpg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215309&field_id=PROPERTY_1419&file_id=242889&ncc=y&download=y&download=y;215308;БА-9290;"ООО ""СОЮЗ"""
215311;Бетонные образцы-кубы;24.09.2025;;;;214942;;
215313;Бетонные образцы-кубы;25.09.2025;;;;215179;;
215316;Бетонные образцы-кубы;17.10.2025;;;;215315;;
215319;Бетонные образцы-кубы;17.10.2025;16.10.2025;Файл: Паспорт от 16 октября БСТ 1.jpg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215319&field_id=PROPERTY_1419&file_id=242896&ncc=y&download=y&download=y;215318;161025-1;"ООО ""ГК ПЕГАС"""
215321;Бетонные образцы-кубы;26.09.2025;;;;215195;;
215325;Бетонные образцы-кубы;26.09.2025;;;;215199;;
215328;Щебень фр. 20-40 мм по ГОСТ 8267;15.10.2025;20.06.2025;Файл: Паспорт щебень 20-40 М1000 от 20 июня 2025.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215328&field_id=PROPERTY_1419&file_id=242905&ncc=y&download=y&download=y;215327;20062025;"ООО ""СВиРТ"""
215331;Щебень фр. 40-70 мм по ГОСТ 8267;14.10.2025;11.10.2025;Файл: Паспорт щебень 40-70 М1000 от 11 октября 2025.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215331&field_id=PROPERTY_1419&file_id=242908&ncc=y&download=y&download=y;215330;11102025;"ООО ""СВиРТ"""
215336;Грунт по ГОСТ 25100;09.02.2026;;;;215335;;
215339;Бетонные образцы-кубы;18.10.2025;17.10.2025;Файл: Паспорт от 17 октября БСТ 1.jpg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215339&field_id=PROPERTY_1419&file_id=242914&ncc=y&download=y&download=y;215338;171025-1;"ООО ""ГК ПЕГАС"""
215342;Бетонные образцы-кубы;18.10.2025;17.10.2025;Файл: Паспорт от 17 октября БСТ 3.jpg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215342&field_id=PROPERTY_1419&file_id=242917&ncc=y&download=y&download=y;215341;171025-2;"ООО ""ГК ПЕГАС"""
215345;Бетонные образцы-кубы;19.10.2025;18.10.2025;Файл: Паспорт от 18 октября БСТ 2.jpg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215345&field_id=PROPERTY_1419&file_id=242920&ncc=y&download=y&download=y;215344;БА-9412Т;"ООО ""СОЮЗ"""
215347;Бетонные образцы-кубы;29.09.2025;;;;215215;;
215349;Бетонные образцы-кубы;29.09.2025;;;;215218;;
215351;Бетонные образцы-кубы;29.09.2025;;;;215221;;
215354;Бетонные образцы-кубы;21.10.2025;20.10.2025;Файл: Паспорт от 20 октября БСТ 1.jpg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215354&field_id=PROPERTY_1419&file_id=242926&ncc=y&download=y&download=y;215353;201025-1;"ООО ""ГК ПЕГАС"""
215357;Песок по ГОСТ 8736;09.02.2026;06.02.2026;Файл: паспорт.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215357&field_id=PROPERTY_1419&file_id=242929&ncc=y&download=y&download=y;215356;602/1;"ООО ""Тэка-Сервис"""
215360;Растворы строительные по ГОСТ 28013;21.10.2025;25.09.2025;Файл: Паспорт раствор М150 от 25 сентября 1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215360&field_id=PROPERTY_1419&file_id=242932&ncc=y&download=y&download=y;215359;31;"ООО СЗ ИСК ""БУДМАР"""
215362;Бетонные образцы-кубы;01.10.2025;;;;215229;;
215365;Грунт в кольцах ;27.10.2025;16.09.2025;Файл: Паспорт Песок из отсева дробления 16 сентября 1.webp;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215365&field_id=PROPERTY_1419&file_id=242936&ncc=y&download=y&download=y;215364;16092025;"ООО ""СВиРТ"""
215368;Грунт в кольцах ;27.10.2025;21.06.2025;Файл: Паспорт Песок из отсева дробления 21 июня 1.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215368&field_id=PROPERTY_1419&file_id=242939&ncc=y&download=y&download=y;215367;21062025;"ООО ""СВиРТ"""
215372;Бетонные образцы-кубы;23.10.2025;22.10.2025;Файл: Паспорт от 22 октября БСТ 1.jpg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215372&field_id=PROPERTY_1419&file_id=242944&ncc=y&download=y&download=y;215371;221025-2;"ООО ""ГК ПЕГАС"""
215375;Бетонные образцы-кубы;23.10.2025;22.10.2025;Файл: Паспорт от 22 октября БСТ 2.jpg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215375&field_id=PROPERTY_1419&file_id=242947&ncc=y&download=y&download=y;215374;221025-1;"ООО ""ГК ПЕГАС"""
215378;Грунт по ГОСТ 33063;09.02.2026;;;;215377;;ООО СУ-910
215381;Растворы строительные по ГОСТ 28013;02.10.2025;;;;215234;;
215384;Бетонные образцы-кубы;24.10.2025;23.10.2025;Файл: Паспорт от 23 октября БСТ 1.jpg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215384&field_id=PROPERTY_1419&file_id=242954&ncc=y&download=y&download=y;215383;231025-1;"ООО ""ГК ПЕГАС"""
215387;Бетонные образцы-кубы;24.10.2025;23.10.2025;Файл: Паспорт от 23 октября БСТ 2.jpg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215387&field_id=PROPERTY_1419&file_id=242957&ncc=y&download=y&download=y;215386;231025-2;"ООО ""ГК ПЕГАС"""
215389;Бетонные образцы-кубы;03.10.2025;;;;215226;;
215391;Бетонные образцы-кубы;03.10.2025;;;;215239;;
215396;Бетонные образцы-кубы;25.10.2025;24.10.2025;Файл: Паспорт от 24 октября БСТ 1.jpg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215396&field_id=PROPERTY_1419&file_id=242977&ncc=y&download=y&download=y;215395;241025-1;"ООО ""ГК ПЕГАС"""
215399;Бетонные образцы-кубы;04.10.2025;;;;215254;;
215401;Бетонные образцы-кубы;04.10.2025;;;;215257;;
215404;Грунт по ГОСТ 25100;23.10.2025;;;;215403;;
215407;Грунт в кольцах ;29.10.2025;;;;215406;;
215410;Грунт в кольцах ;24.10.2025;;;;215409;;
215413;Бетонные образцы-кубы;12.01.2026;16.12.2025;Файл: 13.01.2026 паспорт № 542.щпс-29-12.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215413&field_id=PROPERTY_1419&file_id=242991&ncc=y&download=y&download=y;215412;685;ООО СК Вертикаль
215416;Грунт в кольцах ;30.10.2025;16.09.2025;Файл: Паспорт Песок из отсева дробления 16 сентября 1.webp;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=215416&field_id=PROPERTY_1419&file_id=242994&ncc=y&download=y&download=y;215415;16092025;"ООО ""СВиРТ"""
