Название;Сортировка;ПЛП;Наименование объекта;Документ отбора проб;Ссылка;Место отбора проб;Дата отбора проб;Лицо, предоставившее пробу;Номер акта отбора проб;Примечание
02.02/25-08;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1538. ЩПС отбор 02.02.25 (испытание 04.02.25)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=175089&field_id=PROPERTY_1409&file_id=207243&ncc=y&download=y&download=y;ПК 1074+00;02.02.2025;ГЛК;02.02/25-08;
02.02/25-09;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1546.Песок дробленный 0-4мм, от 02.02.25 испытание от 06.02.25-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=175144&field_id=PROPERTY_1409&file_id=207281&ncc=y&download=y&download=y;ПК 1076;02.02.2025;ГЛК;02.02/25-09;
02.03/25-01;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: Купл. Грунт ПК 925+80-ПК 926+11 насыпь (промежут. слой) 02.03.25-01 (испытание 03.03.25)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179605&field_id=PROPERTY_1409&file_id=211537&ncc=y&download=y&download=y;ПК 925+80-ПК 926+11;02.03.2025;ГЛК;02.03/25-01;
02.03/25-01;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1442.Грунт Купл от 02.03.25 испытание от 03.03.25-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=175868&field_id=PROPERTY_1409&file_id=207868&ncc=y&download=y&download=y;Земляное полотно 3,4-й слой, уч. ПК 1239+60 - ПК 1240+40;02.03.2025;ГЛК;02.03/25-01;
02.03/25-01Б;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: В35 от 02.03.25-01-(7суток 09.03.25)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179453&field_id=PROPERTY_1409&file_id=211274&ncc=y&download=y&download=y;ПК 951+40, ОП1, защитный слой плиты перекрытия и переходной плиты ППм;02.03.2025;ГЛК;02.03/25-01Б;
02.03/25-02;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: Купл. Песок ПК 938+00-ПК 941+00 засыпка труб 02.03.25-02 (испытание 03.03.25)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179659&field_id=PROPERTY_1409&file_id=211574&ncc=y&download=y&download=y;ПК 938+00-ПК 941+00. Засыпка колодцев песчаным грунтом;02.03.2025;ГЛК;02.03/25-02;
02.03/25-02;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1442.Грунт Купл от 02.03.25 испытание от 03.03.25-3.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=175871&field_id=PROPERTY_1409&file_id=207870&ncc=y&download=y&download=y;Земляное полотно 4-й слой, уч. ПК 1255+20 - ПК 1255+90;02.03.2025;ГЛК;02.03/25-02;
02.03/25-02Б;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: В30 от 02.03.25-02-(7суток 09.03.25)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179407&field_id=PROPERTY_1409&file_id=211223&ncc=y&download=y&download=y;ПК 926+25, лежень Лм1, ОП1;02.03.2025;ГЛК;02.03/25-02Б;
02.03/25-03;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1442.Грунт Купл от 02.03.25 испытание от 03.03.25-5.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=175874&field_id=PROPERTY_1409&file_id=207872&ncc=y&download=y&download=y;ПК 1091+90, ИССО-13, ОП 2, обратная засыпка 1,2,3-й слой;02.03.2025;ГЛК;02.03/25-03;
02.03/25-03;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: Купл. Песок ПК 938+00-ПК 941+00 засыпка труб 02.03.25-03 (испытание 03.03.25) НЕ СООТВ.-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179662&field_id=PROPERTY_1409&file_id=211576&ncc=y&download=y&download=y;ПК 938+00-ПК 941+00. Засыпка труб до верха зп;02.03.2025;ГЛК;02.03/25-03;
02.03/25-04;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1442.Грунт Купл от 02.03.25 испытание от 03.03.25-8.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=175878&field_id=PROPERTY_1409&file_id=207877&ncc=y&download=y&download=y;ДСО 1-й слой, уч. ПК 1048+00 - ПК 1049+00;02.03.2025;ГЛК;02.03/25-04;
02.03/25-04;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: КРН SMA-16 ПК 168+16-ПК 183+40 ЛПЧ 02.03.25-04 (испытание 03.03.25) (1)-001.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=178569&field_id=PROPERTY_1409&file_id=210403&ncc=y&download=y&download=y;ПК 168+16-ПК 183+40 ЛПЧ;02.03.2025;ГЛК;02.03/25-04;
02.03/25-04;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: КРН SMA-16 ПК 168+16-ПК 183+40 ЛПЧ 02.03.25-04 (испытание 03.03.25) (1)-001.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=178610&field_id=PROPERTY_1409&file_id=210471&ncc=y&download=y&download=y;ПК 168+16-ПК 183+40 ЛПЧ;02.03.2025;ГЛК;02.03/25-04;
02.03/25-05;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: ФМС ЩПС С-4 ПК 970 штабель АПК Кушвинский 02.03.25-05 (испытание 03.03.25)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179737&field_id=PROPERTY_1409&file_id=211628&ncc=y&download=y&download=y;ПК 970+00 штабель. Устройство нижнего слоя основания;02.03.2025;ГЛК;02.03/25-05;
02.03/25-05;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1470.Бетон на 7 суток от 02.03.2025 испытание от 09.03.2025-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=176086&field_id=PROPERTY_1409&file_id=208026&ncc=y&download=y&download=y;ПК 1395, укрепление кювета;02.03.2025;ГЛК;02.03/25-05;
02.03/25-06;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: ФМС ПГС ПК 395 Путейское-1 02.03.25-06 (испытание 04.03.25) (1)-001.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=178974&field_id=PROPERTY_1409&file_id=210724&ncc=y&download=y&download=y;ПК 395+00 накопитель;02.03.2025;ГЛК;02.03/25-06;
02.03/25-06;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1470.Бетон на 7 суток от 02.03.2025 испытание от 09.03.2025-4.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=176089&field_id=PROPERTY_1409&file_id=208029&ncc=y&download=y&download=y;ПК 1078, фундамент под звенья ВПТ;02.03.2025;ГЛК;02.03/25-06;
02.03/25-07;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1470.Бетон на 7 суток от 02.03.2025 испытание от 09.03.2025-7.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=176092&field_id=PROPERTY_1409&file_id=208032&ncc=y&download=y&download=y;ПК 1138+10, ИССО-16, монолитный лежень;02.03.2025;ГЛК;02.03/25-07;
02.04/25-01;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: Купл. Грунт ПК 818+17-ПК 820+33 право нагор. канава 9 02.04.25-01 (испытание 03.04.25)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179834&field_id=PROPERTY_1409&file_id=211712&ncc=y&download=y&download=y;Канава уч. ПК 818+47 - ПК 820+33 право;02.04.2025;ГЛК;02.04/25-01;
02.04/25-01;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1594. Грунт (Купл) отбор 02.04.24 (испытание 03.04.25)-01.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=178391&field_id=PROPERTY_1409&file_id=210262&ncc=y&download=y&download=y;ПК 1076+00, а/д Янаул-Майск ПК 8+80, обратная засыпка ВПТ 1,2-й слой;02.04.2025;ГЛК;02.04/25-01;
02.04/25-02;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: Купл. Грунт ПК 896+50 лево водоотв. канава 36 02.04.25-02 (испытание 03.04.25)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179837&field_id=PROPERTY_1409&file_id=211714&ncc=y&download=y&download=y;Водоотводная канава, ПК 896+50 лево;02.04.2025;ГЛК;02.04/25-02;
02.04/25-02;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1594. Грунт (Купл) отбор 02.04.24 (испытание 03.04.25)-03.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=178394&field_id=PROPERTY_1409&file_id=210264&ncc=y&download=y&download=y;ДСО 1,2-й слой, уч. ПК 1028+00 - ПК 1031+50 лево;02.04.2025;ГЛК;02.04/25-02;
02.04/25-03;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: Купл. Грунт несвяз. ПК 809+55-ПК 812+90 лево ост. полоса 02.04.25-03 (испытание 03.04.25)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179831&field_id=PROPERTY_1409&file_id=211709&ncc=y&download=y&download=y;Основание остановочной полосы уч. ПК 809+55 - ПК 912+90 лево;02.04.2025;ГЛК;02.04/25-03;
02.04/25-03;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1594. Грунт (Купл) отбор 02.04.24 (испытание 03.04.25)-05.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=178397&field_id=PROPERTY_1409&file_id=210266&ncc=y&download=y&download=y;ЗП 3,4-й слой лево, уч. ПК 1077+40 - ПК 1077+60;02.04.2025;ГЛК;02.04/25-03;
02.04/25-04;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: Купл. Грунт несвяз. ПК 808+76-ПК 812+90 право ост. полоса 02.04.25-04 (испытание 03.04.25)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179828&field_id=PROPERTY_1409&file_id=211707&ncc=y&download=y&download=y;оснвоание на остановочной полоса уч. ПК 808+76 - ПК 812+90 право;02.04.2025;ГЛК;02.04/25-04;
02.04/25-04;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1594. Грунт (Купл) отбор 02.04.24 (испытание 03.04.25)-07.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=178400&field_id=PROPERTY_1409&file_id=210268&ncc=y&download=y&download=y;ЗП 5,6,7-й слой, уч. ПК 1077+60 - ПК 1078+10 (лево);02.04.2025;ГЛК;02.04/25-04;
02.04/25-05;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: ФМС Песок ПК 14+50 ам Силазовский 02.04.25-05 (испытание 03.04.25)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179849&field_id=PROPERTY_1409&file_id=211722&ncc=y&download=y&download=y;ПК 14+50;02.04.2025;ГЛК;02.04/25-05;Паспорт не предоставлен Кф 0,4 м/сут
02.04/25-05;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1594. Грунт (Купл) отбор 02.04.24 (испытание 03.04.25)-09.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=178403&field_id=PROPERTY_1409&file_id=210270&ncc=y&download=y&download=y;Замена слабого грунта ПК 1127+28, сельхозпроезд, ПК 2+10 15,16,17,18-й слой;02.04.2025;ГЛК;02.04/25-05;
02.04/25-06;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: КРН SP32Э ПК 863+50-ПК 869+00 ЛПЧ ВСО 02.04.25-06 (испытание 03.04.25)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179792&field_id=PROPERTY_1409&file_id=211683&ncc=y&download=y&download=y;ВСО уч. ПК 863+50 - ПК 869+00 ЛПЧ;02.04.2025;ГЛК;02.04/25-06;
02.04/25-06;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1594. Грунт (Купл) отбор 02.04.24 (испытание 03.04.25)-11.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=178406&field_id=PROPERTY_1409&file_id=210272&ncc=y&download=y&download=y;Замена слабого грунта, ПК 1127+28, сельхозпроезд ПК 2+10 11-14 слой;02.04.2025;ГЛК;02.04/25-06;
02.04/25-07;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1594. Грунт (Купл) отбор 02.04.24 (испытание 03.04.25)-13.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=178409&field_id=PROPERTY_1409&file_id=210274&ncc=y&download=y&download=y;ДСО 1,2-й слой, уч. ПК 1149+20 - ПК 1150+00;02.04.2025;ГЛК;02.04/25-07;
02.04/25-08;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1594. Грунт (Купл) отбор 02.04.24 (испытание 03.04.25)-15.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=178412&field_id=PROPERTY_1409&file_id=210276&ncc=y&download=y&download=y;ЗП (верхний слой), а/д Староболтачего-Куеда, уч. ПК 0+80 - ПК 1+50;02.04.2025;ГЛК;02.04/25-08;
02.04/25-09;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1594. Грунт (Купл) отбор 02.04.24 (испытание 03.04.25)-17.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=178419&field_id=PROPERTY_1409&file_id=210284&ncc=y&download=y&download=y;ДСО, ПК 1264+00, транспортная развязка, съезд 6, уч. ПК 0+70 - ПК 5+58;02.04.2025;ГЛК;02.04/25-09;
02.04/25-10;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1594. Грунт (Купл) отбор 02.04.24 (испытание 03.04.25)-19.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=178415&field_id=PROPERTY_1409&file_id=210278&ncc=y&download=y&download=y;Основание под рабочую платформу, ПК 1278+50, ИССО-21, ОП 2;02.04.2025;ГЛК;02.04/25-10;
02.04/25-11;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1594. Грунт (Купл) отбор 02.04.24 (испытание 03.04.25)-21.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=178422&field_id=PROPERTY_1409&file_id=210286&ncc=y&download=y&download=y;Обратная засыпка колодцев и трубопровода (право) ПК 1311+82;02.04.2025;ГЛК;02.04/25-11;
02.04/25-12;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1594. Грунт (Купл) отбор 02.04.24 (испытание 03.04.25)-23.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=178425&field_id=PROPERTY_1409&file_id=210288&ncc=y&download=y&download=y;02.04/25-12;02.04.2025;ГЛК;02.04/25-12;
02.04/25-13;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1617. Бетон 7 суток отбор 02.03.25 (испытание 09.04.25)-01.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=180755&field_id=PROPERTY_1409&file_id=212829&ncc=y&download=y&download=y;ПК 1264+32,74, ИССО-20, подпорная стенка ПС1, ОП2 (этап 2);02.04.2025;ГЛК;02.04/25-13;
02.04/25-14;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1617. Бетон 7 суток отбор 02.03.25 (испытание 09.04.25)-04.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=180763&field_id=PROPERTY_1409&file_id=212835&ncc=y&download=y&download=y;ПК 1169, оголовки части секции СО-2;02.04.2025;ГЛК;02.04/25-14;
02.04/25-15;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1617. Бетон 7 суток отбор 02.03.25 (испытание 09.04.25)-07.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=180766&field_id=PROPERTY_1409&file_id=212838&ncc=y&download=y&download=y;уч. ПК 1108+75 - ПК 1110+00 замки и столбики дождевой канализации;02.04.2025;ГЛК;02.04/25-15;
02.04/25-16;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1617. Бетон 7 суток отбор 02.03.25 (испытание 09.04.25)-10.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=180772&field_id=PROPERTY_1409&file_id=212843&ncc=y&download=y&download=y;ПК 1091+80, ИССО-13 ОП1, бетонная подготовка под переходную плиту;02.04.2025;ГЛК;02.04/25-16;
