Название;Сортировка;ПЛП;Наименование объекта;Документ отбора проб;Ссылка;Место отбора проб;Дата отбора проб;Лицо, предоставившее пробу;Номер акта отбора проб;Примечание
209142;500;ПЛП 6;КО М-4 км 133+750 - км 221+020 (II, III, IV этапы), км 527+550 - км 544+850, км 545+250 - км 628+450 (V этап), 1119+500 - км 1195+100 (III этап), СТР НПП км 325+625, км 466+370 (I очередь);Файл: 30.11.2025 акт № 11-11-БЕТ-1117-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=209142&field_id=PROPERTY_1409&file_id=237399&ncc=y&download=y&download=y;км 598-км 599;11.11.2025;ГСК;11-11-БЕТ-1117-1;
209163;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: 2340. Протоколы Бетон 7 суток от 09.11.2025 испытание 16.11.2025-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=209163&field_id=PROPERTY_1409&file_id=237427&ncc=y&download=y&download=y;ПК 908+40 право;09.11.2025;ГЛК;0911Б-1;
209166;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: 2340. Протоколы Бетон 7 суток от 09.11.2025 испытание 16.11.2025-4.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=209166&field_id=PROPERTY_1409&file_id=237430&ncc=y&download=y&download=y;ПК 926+80 лево;09.11.2025;ГЛК;0911Б-2;
209169;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: 2340. Протоколы Бетон 7 суток от 09.11.2025 испытание 16.11.2025-7.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=209169&field_id=PROPERTY_1409&file_id=237433&ncc=y&download=y&download=y;ПК 1290+05 лево;09.11.2025;ГЛК;0911Б-3;
209172;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: 2342. Протоколы Бетон 7 суток от 11.11.2025 испытание 18.11.2025-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=209172&field_id=PROPERTY_1409&file_id=237436&ncc=y&download=y&download=y;ПК 1190+11 лево;11.11.2025;ГЛК;1111Б-3;
209175;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: 2342. Протоколы Бетон 7 суток от 11.11.2025 испытание 18.11.2025-4.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=209175&field_id=PROPERTY_1409&file_id=237439&ncc=y&download=y&download=y;ПК 337+32;11.11.2025;ГЛК;1111Б-4;
209178;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: 2343. Протокол Бетон 7 суток от 12.11.2025 испытание 19.11.2025-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=209178&field_id=PROPERTY_1409&file_id=237441&ncc=y&download=y&download=y;ПК 1299+00 лево;12.11.2025;ГЛК;1211Б-1;
209181;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: 2344. Протокол Бетон 7 суток от 13.11.2025 испытание 20.11.2025-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=209181&field_id=PROPERTY_1409&file_id=237444&ncc=y&download=y&download=y;ПК 1284+50 право;13.11.2025;ГЛК;1311Б-1;
209184;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: 2345. Протокол Бетон 7 суток от 14.11.2025 испытание 21.11.2025-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=209184&field_id=PROPERTY_1409&file_id=237447&ncc=y&download=y&download=y;ПК 634;14.11.2025;ГЛК;1411Б-3;
209190;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: 2324. Протоколы Бетон 28 суток от 07.10.2025 испытание 04.11.2025-09.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=209190&field_id=PROPERTY_1409&file_id=237453&ncc=y&download=y&download=y;ПК 954+50;07.10.2025;ГЛК;07.10/25-5;
