ПЛП;Наименование объект;Номер акта отбора проб;Дата отбора проб;Место отбора проб;Лицо, предоставившее пробу;Дата поступления материала;Наименование материала;Документ о качестве;Предприятие-изготовитель;Номер протокола;Дата протокола;Результат испытаний;Примечание
ПЛП 3;СТР М-12 Д-А, 1-й этап;20.04/25-12;20.04.2025;После ИССО 1278+58;ГЛК;20.04.2025;Грунт в кольцах ;-;;20.04/25-12;21.04.2025;Не соответствует;Устройство 4-го слоя обратной засыпки путепровода тоннельного типа. ПК 1278+50 ИССО 21
ПЛП 6;РЕК М3 км 65-км 86 I ПК;09.04/25-03;09.04.2025;база км 86 М-3;ГЛК;09.04.2025;ОМС к/з по ГОСТ 30491;-;ООО СУ910;09.04/25-03;23.04.2025;Соответствует;НСО
ПЛП 6;РЕК М3 км 65-км 86 I ПК;22.04/25-01;22.04.2025;ПК24+00 2м от оси право;ГЛК;22.04.2025;Керны АБ к/з пл. тип А М I по ГОСТ 9128;-;ООО АСФАЛЬТОБЕТОНСЕРВИС ЦДС;22.04/25-01;23.04.2025;Соответствует;НСП
ПЛП 6;РЕК М3 км 65-км 86 I ПК;22.04/25-02;22.04.2025;ПК138+00 2м от оси право;ГЛК;22.04.2025;Керны АБ к/з пл. тип Б М I по ГОСТ 9128;-;ООО СУ910;22.04/25-02;23.04.2025;Соответствует;ВСО
ПЛП 5;РЕМ М-4 км 414+700-км 449+00 (о.н.);17-04-PG76/28;17.04.2025;АБЗ ООО ДРСУ Магистраль, р-н км 492 лево автомагистрали М-4;ГСК;19.04.2025;БВ PG 76-28 по ГОСТ Р 58400.1;-;ООО ПСП Карьер Октябрьское;22/04/25/1/308/М-4;22.04.2025;Соответствует;
ПЛП 5;РЕМ М-4 км 167+700-км 193+000;17.04/25-2 ;17.04.2025;АБЗ ООО АМТТС Тульская область, Богородицк, Магистральный проезд, 1Е, координаты 53.774323, 38.096398;ГЛК;18.04.2025;БВ PG 70-34 по ГОСТ Р 58400.1;-; ООО Система ВК;22/04/25/2/1406/М-4;22.04.2025;Соответствует;
ПЛП 5;СТР М-1 км 84 ? км 132 , ТР км 86;б/н;27.03.2025;Монолитная плита (Захватка №2);ГСК;08.04.2025;Бетонные образцы-кубы;-;ООО Штарком;24/04/25/В35/1/2427/М-1;24.04.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;23.04/25-04;23.04.2025;ПК 645, производственная база ООО СК АвтодорАБЗ КА-240;ГЛК;23.04.2025;АБС SP-32Э по ГОСТ Р 58401.1;-;;23.04/25-04;24.04.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;23.04/25-03;23.04.2025;Устройство основания под ТП 9.3 ПК 51+13,00 справа;ГЛК;23.04.2025;Грунт в кольцах ;-;;23.04/25-03;24.04.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;23.04/25-02;23.04.2025;Устройство основания под ТП 9.4 ПК 82+19,00 справа;ГЛК;23.04.2025;Грунт в кольцах ;-;;23.04/25-02;24.04.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;23.04/25-01;23.04.2025;Устройство основания под ТП 9.5 ПК 115+70 справа;ГЛК;23.04.2025;Грунт в кольцах ;-;;23.04/25-01;24.04.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;17.04/25-01Б;17.04.2025;ПК 978+00 бетонирование бортового камня;ГЛК;17.04.2025;Бетонные образцы-кубы;-;ООО Стройсервис;17.04/25-01;24.04.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;17.04/25-02Б;17.04.2025;ПК 956+52 бетонирование карты конуса;ГЛК;17.04.2025;Бетонные образцы-кубы;-;ООО РСК;17.04/25-02;24.04.2025;Соответствует;
ПЛП 3;СТР М-12 Д-А, 1-й этап;21.04/25-01;21.04.2025;ПК1+00;ГЛК;21.04.2025;Грунт в кольцах ;-;;21.04/25-01;22.04.2025;Соответствует;Устройство дополнительного слоя основания дорожной одежды (основной ход) уч. ТР 1264 Съезд С8 уч. ПК 0+46 - Пк 1+45
ПЛП 3;СТР М-12 Д-А, 1-й этап;21.04/25-02;21.04.2025;ПК17+00;ГЛК;21.04.2025;Грунт в кольцах ;-;;21.04/25-02;22.04.2025;Соответствует;Устройство дополнительного слоя основания дорожной одежды (основной ход) уч. ТР 1264 а/д Бураево - Куедауч. ПК 16+00 - ПК 17+65
ПЛП 3;СТР М-12 Д-А, 1-й этап;21.04/25-03;21.04.2025;После ИССО 1278+57;ГЛК;21.04.2025;Грунт в кольцах ;-;;21.04/25-03;22.04.2025;Соответствует;Устройство 5-го слоя обратной засыпки путепровода тоннельного типа. ПК 1278+50 ИССО21
ПЛП 3;СТР М-12 Д-А, 1-й этап;21.04/25-04;21.04.2025;Опора №2;ГЛК;21.04.2025;Грунт в кольцах ;-;;21.04/25-04;22.04.2025;Соответствует;Устройство отсыпки 10-го слоя конуса опоре №2. ПК 1304+18,35 ИССО 22
ПЛП 3;СТР М-12 Д-А, 1-й этап;21.04/25-05;21.04.2025;ПК1176+00;ГЛК;21.04.2025;Грунт в кольцах ;-;;21.04/25-05;22.04.2025;Соответствует;Устройство 7-го и 8-го слоя насыпи земляного полотна (основной ход), уч. ПК 1 175+60 -ПК 1176+80
ПЛП 3;СТР М-12 Д-А, 1-й этап;21.04/25-06;21.04.2025;После ИССО ПК1215+07;ГЛК;21.04.2025;Грунт в кольцах ;-;;21.04/25-06;22.04.2025;Соответствует;Устройство 11-го слоя обратной засыпки путепровода тоннельного типа. ПК 1215+00 ИССО 18
ПЛП 3;СТР М-12 Д-А, 1-й этап;21.04/25-07;21.04.2025;ПК1215+40;ГЛК;21.04.2025;Грунт в кольцах ;-;;21.04/25-07;22.04.2025;Соответствует;Устройство 9-го и 10-го слоя насыпи земляного полотна (основной ход) уч. ПК 1215+30 - ПК 1215+50
ПЛП 3;СТР М-12 Д-А, 1-й этап;21.04/25-08;21.04.2025;ПК1270+50, ПК1271+50, ПК1272+80;ГЛК;21.04.2025;Грунт в кольцах ;-;;21.04/25-08;22.04.2025;Соответствует;Устройство дополнительного слоя основания дорожной одежды (основной ход) уч. ПК 1269+55 - ПК 1273+40 лево
ПЛП 3;СТР М-12 Д-А, 1-й этап;21.04/25-09;21.04.2025;ПК1242+20;ГЛК;21.04.2025;Грунт в кольцах ;-;;21.04/25-09;22.04.2025;Соответствует;Устройство 1-го и 2-го дополнительного слоя основания дорожной одежды (основной ход) уч. ПК 1241+75 - ПК 1243+20 лево
ПЛП 3;СТР М-12 Д-А, 1-й этап;21.04/25-10;21.04.2025;ПК1239+50;ГЛК;21.04.2025;Грунт в кольцах ;-;;21.04/25-10;22.04.2025;Соответствует;Устройство 11-го слоя насыпи земляного полотна (основной ход) уч. ПК 1239+10 - ПК 1240+00
ПЛП 3;СТР М-12 Д-А, 1-й этап;23.03/25-09;23.03.2025;ПК 1091+73;ГЛК;23.03.2025;Грунт в кольцах ;-;;25.03/25-09;22.04.2025;Соответствует;
ПЛП 3;СТР М-12 Д-А, 1-й этап;25.03/25-10;25.03.2025;ПК 1072+60, укрепление входного оголовка;ГЛК;25.03.2025;Бетонные образцы-кубы;-;ООО Стройсервис;25.03/25-10;22.04.2025;Соответствует;
ПЛП 3;СТР М-12 Д-А, 1-й этап;25.03/25-14;25.03.2025;ПК 1278+50, подпорные стенки (ПС3 и ПС4);ГЛК;25.03.2025;Бетонные образцы-кубы;-;ООО НПС/Трансстроймеханизация;25.03/25-14;22.04.2025;Соответствует;
ПЛП 3;СТР М-12 Д-А, 1-й этап;25.03/25-15;25.03.2025;ПК 1169 плита СС1, секция 8;ГЛК;25.03.2025;Бетонные образцы-кубы;-;ООО НПС/Трансстроймеханизация;25.03/25-15;22.04.2025;Соответствует;
ПЛП 3;СТР М-12 Д-А, 1-й этап;25.03/25-09;25.03.2025;ПК 1050+76, ИССО-10, ОП2, лежень;ГЛК;25.03.2025;Бетонные образцы-кубы;-;ООО Стройсервис;25.03/25-09;22.04.2025;Соответствует;
ПЛП 5;РЕМ М-4 км 414+700-км 449+00 (о.н.);18-04-SP-22-1 ;18.04.2025;ПК 36+00, шнек асфальтоукладчика;ГСК;22.04.2025;АБС SP-22Э по ГОСТ Р 58401.1;-;;24/04/25/АБС/308/М-4;24.04.2025;Соответствует;
ПЛП 5;РЕМ М-4 км 414+700-км 449+00 (о.н.);21-04-2025-КЕР-НСП ;21.04.2025;ПК 38+00;ГСК;22.04.2025;Керны АБ SP-22Э по ГОСТ Р 58401.1;-;;23/04/25/АБ/308/М-4;23.04.2025;Соответствует;
ПЛП 3;СТР М-12 Д-А, 1-й этап;15.04/25-01;15.04.2025;ПК 1278+50;ГЛК;15.04.2025;Бетонные образцы-кубы;-;ООО НПС//Трансстроймеханизация ;15.04/25-01;22.04.2025;Соответствует;Устройство лежня на ОП1
ПЛП 3;СТР М-12 Д-А, 1-й этап;15.04/25-17;15.04.2025;ПК 1075, ПК 1108.;ГЛК;15.04.2025;Бетонные образцы-кубы;-;ООО СУ №926 ;15.04/25-17;22.04.2025;Соответствует;Устройство замка колодца дождевой канализации.
ПЛП 3;СТР М-12 Д-А, 1-й этап;15.04/25-18;15.04.2025;ПК 1081 (14-32, 14-34, 14-36). ;ГЛК;15.04.2025;Растворы строительные по ГОСТ 28013;-;ООО СУ №926 ;15.04/25-18;15.04.2025;Соответствует;Заполнение межтрубного пространства стального футляра дождевой канализации.
ПЛП 3;СТР М-12 Д-А, 1-й этап;15.04/25-19;15.04.2025;ПК 1362 - ПК 1368 ;ГЛК;15.04.2025;Бетонные образцы-кубы;-;АО Донаэродорстрой;15.04/25-19;22.04.2025;Соответствует;Устройство основания под бортовой камень.
ПЛП 3;СТР М-12 Д-А, 1-й этап;15.04/25-20;15.04.2025;ПК1311.;ГЛК;15.04.2025;Бетонные образцы-кубы;-;АО Донаэродорстрой;15.04/25-20;22.04.2025;Соответствует;Устройство основания под ростверк шумозащитных экранов
ПЛП 3;СТР М-12 Д-А, 1-й этап;15.04/25-21 ;15.04.2025;ПК 1393.;ГЛК;15.04.2025;Бетонные образцы-кубы;-;АО Донаэродорстрой;15.04/25-21 ;22.04.2025;Соответствует;Устройство укрепления кювета.
ПЛП 3;СТР М-12 Д-А, 1-й этап;15.04/25-22;15.04.2025;ПК 1317+65.;ГЛК;15.04.2025;Бетонные образцы-кубы;-;АО Донаэродорстрой;15.04/25-22;22.04.2025;Соответствует;Устройство укрепления русла и откосов входного оголовка ВПТ
ПЛП 3;СТР М-12 Д-А, 1-й этап;22.04/25-01;22.04.2025;ПК 1074 АБЗ. Производственная база ООО СУ №926 ;ГЛК;22.04.2025;АБС SP-32Э по ГОСТ Р 58401.1;-;ООО СУ №926;22.04/25-01;23.04.2025;Соответствует;Верхний слой основания, уч. ПК 1042+60 - ПК 1048+00 прямое направление
ПЛП 3;СТР М-12 Д-А, 1-й этап;26.03/25-11;26.03.2025;ПК 1092+50, фундамент под закладные детали опор освящения;ГЛК;26.03.2025;Бетонные образцы-кубы;-;ООО РСК;26.03/25-11;23.04.2025;Не соответствует;
ПЛП 3;СТР М-12 Д-А, 1-й этап;26.03/25-12;26.03.2025;ПК 1020+00, ИССО-0, ОП2, лежень;ГЛК;26.03.2025;Бетонные образцы-кубы;-;ООО Стройсервис;26.03/25-12;23.04.2025;Соответствует;
ПЛП 3;СТР М-12 Д-А, 1-й этап;26.03/25-13;26.03.2025;ПК 1078+69 ВПТ, лоток оголовка (право), заполнение пазух (лево);ГЛК;26.03.2025;Бетонные образцы-кубы;-;ООО Стройсервис;26.03/25-13;23.04.2025;Соответствует;
ПЛП 3;СТР М-12 Д-А, 1-й этап;22.04/25-02;22.04.2025;ПК18+00;ГЛК;22.04.2025;Грунт в кольцах ;-;;22.04/25-02;23.04.2025;Соответствует;Устройство дополнительного слоя основания дорожной одежды (основной ход) ПК 1264+33,93 ИССО 20 а/д Бураево-Куеда уч. ПК 17+60 - ПК 19+00
ПЛП 3;СТР М-12 Д-А, 1-й этап;22.04/25-03;22.04.2025;ПК 1239+60;ГЛК;22.04.2025;Грунт в кольцах ;-;;22.04/25-03;23.04.2025;Соответствует;Устройство 12-го насыпи земляного полотна (основной ход) уч. ПК 1239+10 - ПК 1240+00
ПЛП 3;СТР М-12 Д-А, 1-й этап;22.04/25-05;22.04.2025;ПК1102+00, ПК1103+00;ГЛК;22.04.2025;Грунт в кольцах ;-;;22.04/25-05;23.04.2025;Соответствует;Устройство дополнительного слоя основания дорожной одежды (основной ход) уч. ПК 1101+20 - ПК 1103+40 право
ПЛП 3;СТР М-12 Д-А, 1-й этап;22.04/25-06;22.04.2025;Над ИССО ПК 1057+80;ГЛК;22.04.2025;Грунт в кольцах ;-;;22.04/25-06;23.04.2025;Соответствует;Устройство обратной засыпки 1-го, 2-го и 3-го слоя над путепроводом тоннельного типа. ПК 1057+77,69 ИССО 11
ПЛП 3;СТР М-12 Д-А, 1-й этап;22.04/25-07;22.04.2025;Перед ИССО ПК 1278+44;ГЛК;22.04.2025;Грунт в кольцах ;-;;22.04/25-07;23.04.2025;Соответствует;Устройство 4-го и 5-го слоя обратной засыпки путепровода тоннельного типа. ПК 1278+50 ИССО 21
ПЛП 3;СТР М-12 Д-А, 1-й этап;22.04/25-08;22.04.2025;Опора №1;ГЛК;22.04.2025;Грунт в кольцах ;-;;22.04/25-08;23.04.2025;Соответствует;Устройство отсыпки 11-гои 12-го слоя конуса опоре № 1. ПК 1304+18,35 ИССО22
ПЛП 3;СТР М-12 Д-А, 1-й этап;22.04/25-09;22.04.2025;После ИССО ПК 1215+07;ГЛК;22.04.2025;Грунт в кольцах ;-;;22.04/25-09;23.04.2025;Соответствует;Устройство 12-го слоя обратной засыпки путепровода тоннельного типа. ПК 1215+00 ИССО 18
ПЛП 3;СТР М-12 Д-А, 1-й этап;22.04/25-04;22.04.2025;Над ИССО 1138+10, Над ИССО 1138+12;ГЛК;22.04.2025;Грунт в кольцах ;-;;22.04/25-04;23.04.2025;Соответствует;Устройство слоя обратной засыпки над путепроводом тоннельного типа. ПК 1038+10 ИССО 16
ПЛП 3;СТР М-12 Д-А, 1-й этап;16.04/25-08;16.04.2025;ПК 1050+76 ИССО№10;ГЛК;16.04.2025;Бетонные образцы-кубы;-;ООО СУ №926 ;16.04/25-08;23.04.2025;Соответствует;Устройство переходной плиты на опоре №2. (2 этап)
ПЛП 3;СТР М-12 Д-А, 1-й этап;16.04/25-09;16.04.2025;ПК 1077.;ГЛК;16.04.2025;Бетонные образцы-кубы;-;ООО СУ №926;16.04/25-09;23.04.2025;Соответствует;Устройство замков дренажа глубокого заложения
ПЛП 3;СТР М-12 Д-А, 1-й этап;16.04/25-10;16.04.2025;ПК 1168+00 ИССО 17;ГЛК;16.04.2025;Бетонные образцы-кубы;-;ООО НПС//Трансстроймеханизация;16.04/25-10;23.04.2025;Соответствует;Устройство защитного слоя поверху лотковой плиты
ПЛП 5;СТР ТР№20 А-113 (ЦКАД ПК№3);23.04/1К;15.04.2025;Транспортная развязка № 20 Пускового комплекса № 3 Съезд №1 и Съезд №3;Подрядная организация;23.04.2025;Грунт в кольцах ;-;;23/04/25/1К/1509/А-113;23.04.2025;Соответствует;
ПЛП 3;СТР М-12 Д-А, 1-й этап;16.04/25-11;16.04.2025;ПК 1367+29- ПК 1367+98;ГЛК;16.04.2025;Бетонные образцы-кубы;-;АО Донаэродорстрой;16.04/25-11;23.04.2025;Соответствует;Устройство основания под бортовой камень.
ПЛП 3;СТР М-12 Д-А, 1-й этап;16.04/25-12;16.04.2025;ПК 1393+50.;ГЛК;16.04.2025;Бетонные образцы-кубы;-;АО Донаэродорстрой. ;16.04/25-12;23.04.2025;Соответствует;Укрепление выходного оголовка ВПТ
ПЛП 3;СТР М-12 Д-А, 1-й этап;16.04/25-13;16.04.2025;ПК 1401+25 - ПК 1401+65;ГЛК;16.04.2025;Бетонные образцы-кубы;-;АО Донаэродорстрой;16.04/25-13;23.04.2025;Соответствует;Укрепление откосной части кювета
ПЛП 3;СТР М-12 Д-А, 1-й этап;16.04/25-14;16.04.2025;ПК 1317+65.;ГЛК;16.04.2025;Бетонные образцы-кубы;-;АО Донаэродорстрой;16.04/25-14;23.04.2025;Соответствует;Устройство укрепления русла и откосной части русла оголовка ВПТ
ПЛП 3;СТР М-12 Д-А, 1-й этап;23.04/25-01;23.04.2025;После ИССО 1215+10;ГЛК;23.04.2025;Грунт в кольцах ;-;;23.04/25-01;24.04.2025;Соответствует;Устройство 13-го слоя обратной засыпки путепровода тоннельного типа. ПК 1215+00 ИССО 18
ПЛП 3;СТР М-12 Д-А, 1-й этап;23.04/25-02;23.04.2025;ПК1045+50;ГЛК;23.04.2025;Грунт в кольцах ;-;;23.04/25-02;24.04.2025;Соответствует;Устройство 1-го, 2-го и 3-го дополнительного слоя основания дорожной одежды (основной ход) уч. ПК 1044+00 - ПК 1046+40 лево
ПЛП 3;СТР М-12 Д-А, 1-й этап;23.04/25-03;23.04.2025;ПК1215+40;ГЛК;23.04.2025;Грунт в кольцах ;-;;23.04/25-03;24.04.2025;Соответствует;Устройство 11-го и 12-го слоя насыпи земляного полотна (основной ход) уч. ПК 1215+30-ПК 1215+50
ПЛП 3;СТР М-12 Д-А, 1-й этап;23.04/25-05;23.04.2025;Опора №2;ГЛК;23.04.2025;Грунт в кольцах ;-;;23.04/25-05;24.04.2025;Соответствует;Устройство отсыпки 11-го и 12-го слоя конуса опоре №2. ПК 1304+18,35 ИССО 22
ПЛП 3;СТР М-12 Д-А, 1-й этап;23.04/25-04;23.04.2025;ПК2+50, ПК4+50;ГЛК;23.04.2025;Грунт в кольцах ;-;;23.04/25-04;24.04.2025;Соответствует;Устройство земляного полотна а/д для лекговых авто. МФЗ ПК 1300+00, уч. ПК 1+00 - ПК 7+54 право.
ПЛП 5;РЕМ ИССО мост через суходол км 456+150;14-04БЕТ;14.04.2025;км 456+150;ГСК;22.04.2025;Бетонные образцы-кубы;-;ООО ДРСУ Магистраль;23/04/25/В30/2/183/М-4;23.04.2025;Соответствует;
ПЛП 5;РЕМ ИССО мост через суходол км 456+150;7-04БЕТ;07.04.2025;км 456+150;ГСК;22.04.2025;Бетонные образцы-кубы;-;ООО ДРСУ Магистраль;23/04/25/В30/1/183/М-4 ;23.04.2025;Соответствует;
ПЛП 6;РЕК М3 км 65-км 86 I ПК;43-ИС;26.03.2025;ПК66+50 (слева);ГСК;11.04.2025;Бетонные образцы-кубы;-;ООО Компания Виталан;43-ИС;23.04.2025;Соответствует;
ПЛП 6;РЕК М3 км 65-км 86 I ПК;20/04/25/1/1187;20.04.2025;ПК6+00 справа;ГСК;23.04.2025;Грунт по ГОСТ 25100;-;ООО СУ910;20/04/25/1/1187;24.04.2025;Соответствует;
ПЛП 6;РЕК М3 км 65-км 86 I ПК;21/04/25/1/1187;21.04.2025;ПК6+00 справа;ГСК;23.04.2025;Грунт по ГОСТ 25100;-;ООО СУ910;21/04/25/1/1187;24.04.2025;Соответствует;
ПЛП 6;РЕК М3 км 65-км 86 I ПК;22/04/25/1/1187;22.04.2025;ПК110+00 справа;ГСК;23.04.2025;Грунт по ГОСТ 25100;-;ООО СУ910;22/04/25/1/1187;24.04.2025;Соответствует;
ПЛП 6;РЕК М3 км 65-км 86 I ПК;23/04/25/1/1187;23.04.2025;ПК144+00 справа;ГСК;23.04.2025;Грунт по ГОСТ 25100;-;ООО СУ910;23/04/25/1/1187;24.03.2025;Соответствует;
ПЛП 6;РЕМ ИССО М-4 мост р. Гнилуша км 435+398;435/бет/27.03.;27.03.2025;км 435+398;ГСК;11.04.2025;Бетонные образцы-кубы;-;ООО ДРСУ Магистраль;435/бет/27.03.;24.04.2025;Соответствует;
ПЛП 6;РЕМ ИССО мост через суходол км 445+547 ;445/бет/27.03.;27.03.2025;мост через суходол на км 445+547;ГСК;11.04.2025;Бетонные образцы-кубы;-;ООО ДРСУ Магистраль;445/бет/27.03.;24.04.2025;Соответствует;
ПЛП 5;РЕК М-1 км 33 ? км 84 (IV ПК км 66-км 84);243-1;28.03.2025;Временная база км 73, ЦБЗ;ГСК;11.04.2025;Бетонные образцы-кубы;-;ООО Трансстроймеханизация;25/04/25/В35/1/1414/М-1;25.04.2025;Соответствует;
ПЛП 5;СТР М-1 км 84 ? км 132 , ТР км 86;86/117-1-1;28.03.2025;Ростверк ШЗЭ №2 секции 6-13;ГСК;17.04.2025;Бетонные образцы-кубы;-;ООО Штарком;25/04/25/В25/1/2427/М-1 ;25.04.2025;Соответствует;
ПЛП 5;КР М4 км 103-км 117;76;28.03.2025;а/д М-4 Дон, км103-км117, ПК1141+00 (Обратное направление);ГСК;01.04.2025;Бетонные образцы-кубы;-;ОАО Агросервис;25/04/25/В30/1/1025/М-4 ;25.04.2025;Соответствует;
ПЛП 3;СТР М-12 Д-А, 1-й этап;27.03/25-10;27.03.2025;ПК 1016+00 ВПТ, лоток;ГЛК;27.03.2025;Бетонные образцы-кубы;-;ООО Стройсервис;27.03/25-10;24.04.2025;Соответствует;
ПЛП 3;СТР М-12 Д-А, 1-й этап;27.03/25-11;27.03.2025;ПК 1078+69 ВПТ, лоток оголовка (право), пазухи (лево);ГЛК;27.03.2025;Бетонные образцы-кубы;-;ООО Стройсервис;27.03/25-11;24.04.2025;Соответствует;
ПЛП 5;РЕК М-1 км 33 ? км 84 (IV ПК км 66-км 84);261;22.04.2025;ПК 823+00 право, ПК 829+50 право;ГСК;24.04.2025;Керны АБ к/з пористый М I по ГОСТ 9128;-;;25/04/25/1/1414/М-1;25.04.2025;Соответствует;
ПЛП 3;СТР М-12 Д-А, 1-й этап;27.03/25-12;27.03.2025;ПК 1108, обоймы дренажных колодцев;ГЛК;27.03.2025;Бетонные образцы-кубы;-;ООО Стройсервис;27.03/25-12;24.04.2025;Соответствует;
ПЛП 3;СТР М-12 Д-А, 1-й этап;27.03/25-13;27.03.2025;ПК 1020+00, ИССО-8, ОП2 бетонная подготовка под лежень;ГЛК;27.03.2025;Бетонные образцы-кубы;-;ООО СУ №926;27.03/25-13;24.04.2025;Не соответствует;
ПЛП 5;РЕК М-1 км 33 ? км 84 (IV ПК км 66-км 84);262;22.04.2025;ПК 823+00 право, ПК 829+50 право;ГСК;24.04.2025;Керны АБ м/з тип Б М I по ГОСТ 9128;-;;25/04/25/2/1414/М-1;25.04.2025;Соответствует;
ПЛП 5;РЕК М-1 км 33 ? км 84 (IV ПК км 66-км 84);263;22.04.2025;ПК 823+00 право, ПК 829+50 право;ГСК;24.04.2025;Керны АБ м/з тип В М II по ГОСТ 9128;-;;25/04/25/3/1414/М-1;25.04.2025;Соответствует;
ПЛП 3;СТР М-12 Д-А, 1-й этап;27.03/25-14;27.03.2025;ПК 1264+32,74, ИССО-20, ОП2, переходная плита;ГЛК;27.03.2025;Бетонные образцы-кубы;-;ООО НПС/Трансстроймеханизация;27.03/25-14;24.04.2025;Соответствует;
ПЛП 3;СТР М-12 Д-А, 1-й этап;27.03/25-15;27.03.2025;ПК 1331+73, укрепление ВПТ;ГЛК;27.03.2025;Бетонные образцы-кубы;-;АО Донаэродорстрой;27.03/25-15;24.04.2025;Соответствует;
ПЛП 3;СТР М-12 Д-А, 1-й этап;27.03/25-16;27.03.2025;ПК 1346+65 ВПТ, прижимная стенка;ГЛК;27.03.2025;Бетонные образцы-кубы;-;АО Донаэродорстрой;27.03/25-16;24.04.2025;Соответствует;
ПЛП 3;СТР М-12 Д-А, 1-й этап;27.03/25-17;27.03.2025;ПК 1314, ростверк шумозащитных экранов;ГЛК;27.03.2025;Бетонные образцы-кубы;-;АО Донаэродорстрой;27.03/25-17;24.04.2025;Соответствует;
ПЛП 3;СТР М-12 Д-А, 1-й этап;27.03/25-18;27.03.2025;ПК 1317, основание под бортовой камень;ГЛК;27.03.2025;Бетонные образцы-кубы;-;АО Донаэродорстрой;27.03/25-18;24.04.2025;Соответствует;
ПЛП 3;СТР М-12 Д-А, 1-й этап;27.03/25-19;27.03.2025;ПК 1336+00;ГЛК;27.03.2025;Бетонные образцы-кубы;-;АО Донаэродорстрой;27.03/25-19;24.04.2025;Соответствует;
ПЛП 3;СТР М-12 Д-А, 1-й этап;17.04/25-09;17.04.2025;ПК 1081;ГЛК;17.04.2025;Бетонные образцы-кубы;-;ООО СУ №926? ;17.04/25-09;24.04.2025;Соответствует;Устройство лотков и замков ливневой канализации
ПЛП 3;СТР М-12 Д-А, 1-й этап;17.04/25-10;17.04.2025;ПК 1362+50;ГЛК;17.04.2025;Бетонные образцы-кубы;-;АО Донаэродорстрой;17.04/25-10;24.04.2025;Соответствует;Устройство основания под бортовой камень.
ПЛП 3;СТР М-12 Д-А, 1-й этап;17.04/25-11;17.04.2025;ПК 1393+50;ГЛК;17.04.2025;Бетонные образцы-кубы;-;АО Донаэродорстрой;17.04/25-11;24.04.2025;Соответствует;Укрепление входного оголовка ВПТ
ПЛП 3;СТР М-12 Д-А, 1-й этап;17.04/25-12;17.04.2025;ПК 1365.;ГЛК;17.04.2025;Бетонные образцы-кубы;-;АО Донаэродорстрой;17.04/25-12;24.04.2025;Соответствует;Бетонирование закладных деталей опор освещения.
ПЛП 3;СТР М-12 Д-А, 1-й этап;17,04/25-13;17.04.2025;ПК 1317+65.;ГЛК;17.04.2025;Бетонные образцы-кубы;-;АО Донаэродорстрой;17,04/25-13;24.04.2025;Соответствует;Устройство укрепления русла и входного оголовка ВПТ
ПЛП 3;СТР М-12 Д-А, 1-й этап;17.04/25-14;17.04.2025;ПК 1278+50.;ГЛК;17.04.2025;Бетонные образцы-кубы;-;ООО НПС//Трансстроймеханизация ;17.04/25-14;24.04.2025;Соответствует;Устройство банкетки БМ-1 (2 шт., левая и правая сторона)
ПЛП 5;РЕМ А-107 км 24+889-км 54+794;27/03/2025-Б;27.03.2025;А/д А-107 км 46-км 48;ГЛК;27.03.2025;Бетонные образцы-кубы;-;ООО База-Бетон;24/04/25/В15/1/А-107 ;24.04.2025;Соответствует;
ПЛП 5;РЕМ М-11 6-й этап км 334-км 543 (1 оч. стр-ва);1;22.04.2025;АБЗ ООО ?ЗемДорСтрой?, Тверская область, п. Бельский, км 320 М-10, кузов автосамосвала;Подрядная организация;22.04.2025;АБС SMA-16 по ГОСТ Р 58401.2;-;;1;23.04.2025;Соответствует;Совместные испытания в лаборатории подрядчика
ПЛП 5;РЕМ М-11 6-й этап км 334-км 543 (1 оч. стр-ва);1;23.04.2025;а/д М-11 Нева, км 334-км 543, прямое направление;Подрядная организация;23.04.2025;Керны АБ SMA-16 по ГОСТ Р 58401.2;-;;2;23.04.2025;Соответствует;Совместные испытания в лаборатории подрядчика
ПЛП 5;РЕМ М-11 6-й этап км 334-км 543 (1 оч. стр-ва);1;18.04.2025;ПБ ООО ?ЗемДорСтрой?, Тверская область, п. Бельский, км 320 М-10;ГЛК;18.04.2025;Щебень фр. 8-16 мм по ГОСТ 32703;-;ООО Карьероуправление №1;22/04/25/2Щ/41/М-11;22.04.2025;Соответствует;
ПЛП 5;РЕМ М-11 6-й этап км 334-км 543 (1 оч. стр-ва);2;18.04.2025;ПБ ООО ?ЗемДорСтрой?, Тверская область, п. Бельский, км 320 М-10;ГЛК;18.04.2025;Щебень фр. 4-8 мм по ГОСТ 32703;-;ООО Прионежская горная компания;22/04/25/1Щ/41/М-11;22.04.2025;Соответствует;
ПЛП 5;РЕМ М-11 6-й этап км 334-км 543 (1 оч. стр-ва);3;18.04.2025;ПБ ООО ?ЗемДорСтрой?, Тверская область, п. Бельский, км 320 М-10;ГЛК;18.04.2025;Песок по ГОСТ 32730;-;ООО Карьероуправление №1;22/04/25/1П/41/М-11;22.04.2025;Соответствует;
