ПЛП;Наименование объект;Номер акта отбора проб;Дата отбора проб;Место отбора проб;Лицо, предоставившее пробу;Дата поступления материала;Наименование материала;Документ о качестве;Предприятие-изготовитель;Номер протокола;Дата протокола;Результат испытаний;Примечание
ПЛП 3;РЕК М-4 км 933-км 1024;№03/06-В35;03.06.2026;ПК 9793+00;ГЛК;03.06.2026;Бетонные образцы-кубы;-;ООО Трансстроймеханизация;№03/06-В35;01.07.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№03/06-БР;03.06.2026;ППЧ, ПК 9783+00;ГЛК;03.06.2026;Бетонные образцы-кубы;-;ООО Трансстроймеханизация;№03/06-БР;01.07.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№03/06-В35-МО 10;03.06.2026;КМ 982+597;ГЛК;03.06.2026;Бетонные образцы-кубы;-;АО Дороги и Мосты Мостоотряд-10;№03/06-В35-МО 10;01.07.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№30/06-ВСП-1;30.06.2026;ППЧ, ПК 9753 право, ПК 9761  лево, ПК 9783 право, ПК 9887 лево, ПК 9893 право;ГЛК;30.06.2026;Керны АБ SMA-16 по ГОСТ Р 58401.2;-;ООО Трансстроймеханизация;№30/06-ВСП-1;01.07.2026;Соответствует;
ПЛП 6;КР М-4 путепровод км 542+064 альт. напр.;542/бет/20.06;20.06.2026;км 542+064;ГСК;23.06.2026;Бетонные образцы-кубы;-;ООО ДРСУ Магистраль;542/бет/20.06-1;18.07.2026;Соответствует;Уст-во монолитных ж/б подферменных площадок ОП3, ОП2 (7 сутки)
ПЛП 6;РЕК М3 км 86-124 II ПК;10.07/26-05;10.07.2026;ТР км 101 уч. Северная уч. ПК 0+30 - ПК 0+45, опора №1 ;ГСК;17.07.2026;Грунт в кольцах ;-;к-p Спас-Загорье;10.07/26-05;17.07.2026;Соответствует;
ПЛП 6;РЕК М3 км 86-124 II ПК;20.06/26-Б-05;20.06.2026;ПК 415;ГСК;16.07.2026;Бетонные образцы-кубы;-;ООО А-Мост;20.06/26-Б-05;18.07.2026;Соответствует;
ПЛП 6;РЕК М3 км 86-124 II ПК;20.06/26-Б-06;20.06.2026;ПК 415 АГПС;ГСК;16.07.2026;Бетонные образцы-кубы;-;ООО ?А-МОСТ?;20.06/26-Б-06;18.07.2026;Соответствует;
ПЛП 5;РЕК М-1 км 33 ? км 84 (IV ПК км 66-км 84);682-2;21.06.2026;Временная база км 73, ЦБЗ;ГСК;06.07.2026;Бетонные образцы-кубы;-;ООО ТСМ ПРОМБАЗА;682-2;19.07.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№27/06-Щ-2;27.06.2026;Штабель АБЗ;ГЛК;27.06.2026;Щебень фр. 8-16 мм по ГОСТ 32703;-;ООО Трансстроймеханизация;№27/06-Щ-2;28.06.2026;Соответствует;
